4 3	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 3	1 1	6 2 -1 -1 -1 -1 -1 -1 
7 3	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 3	2 79	8 2 -1 -1 -1 -1 -1 -1 
9 3	1 78	8 3 -1 -1 -1 -1 -1 -1 
0 4	2 80	0 3 -1 -1 -1 -1 -1 -1 
1 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 4	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 4	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 4	1 2	6 3 -1 -1 -1 -1 -1 -1 
7 4	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 4	1 78	8 5 -1 -1 -1 -1 -1 -1 
9 4	2 79	8 4 -1 -1 -1 -1 -1 -1 
0 5	1 79	0 4 -1 -1 -1 -1 -1 -1 
1 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 5	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 5	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 5	1 3	6 4 -1 -1 -1 -1 -1 -1 
7 5	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 5	2 79	8 6 -1 -1 -1 -1 -1 -1 
9 5	1 78	8 5 -1 -1 -1 -1 -1 -1 
0 6	2 80	0 5 -1 -1 -1 -1 -1 -1 
1 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 6	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 6	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 6	1 4	6 5 -1 -1 -1 -1 -1 -1 
7 6	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 6	1 78	9 6 -1 -1 -1 -1 -1 -1 
9 6	2 79	9 5 9 7 -1 -1 -1 -1 
0 7	1 79	0 6 -1 -1 -1 -1 -1 -1 
1 7	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
2 7	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 7	1 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 7	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
5 7	1 6	6 7 -1 -1 -1 -1 -1 -1 
6 7	1 5	6 6 -1 -1 -1 -1 -1 -1 
7 7	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
8 7	2 79	8 8 9 7 8 6 -1 -1 
9 7	1 78	9 8 -1 -1 -1 -1 -1 -1 
0 8	2 80	0 7 -1 -1 -1 -1 -1 -1 
1 8	1 79	0 8 -1 -1 -1 -1 -1 -1 
2 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
3 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
4 8	2 80	4 9 -1 -1 -1 -1 -1 -1 
5 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
6 8	0 2147483647	-1 -1 -1 -1 -1 -1 -1 -1 
7 8	2 79	7 9 -1 -1 -1 -1 -1 -1 
8 8	1 78	9 8 -1 -1 -1 -1 -1 -1 
9 8	2 79	9 9 -1 -1 -1 -1 -1 -1 
0 9	1 79	0 8 -1 -1 -1 -1 -1 -1 
1 9	2 80	0 9 1 8 2 9 -1 -1 
2 9	1 79	3 9 -1 -1 -1 -1 -1 -1 
3 9	2 80	4 9 -1 -1 -1 -1 -1 -1 
4 9	1 79	5 9 -1 -1 -1 -1 -1 -1 
5 9	2 80	6 9 -1 -1 -1 -1 -1 -1 
6 9	4 79	7 9 -1 -1 -1 -1 -1 -1 
7 9	2 80	8 9 -1 -1 -1 -1 -1 -1 
8 9	2 79	8 8 -1 -1 -1 -1 -1 -1 
9 9	1 78	8 9 -1 -1 -1 -1 -1 -1 
